"ID","plotnr","treat","Date","height","diameter"
7445,"17","C",2008-01-01,2.88,2.18
9451,"25","C",2008-01-01,2.52,1.55
7066,"17","C",2008-01-01,2.34,1.52
3194,"9","C",2008-01-01,2.32,1.56
2108,"7","C",2008-01-01,2.28,1.34
7120,"17","C",2008-01-01,2.26,1.45
3539,"9","C",2008-01-01,2.18,1.14
3317,"9","C",2008-01-01,2.17,0.89
9681,"25","C",2008-01-01,2.16,1.48
3255,"9","C",2008-01-01,2.12,0.99
3364,"9","C",2008-01-01,2.1,1.11
6951,"17","C",2008-01-01,2.1,0.95
2366,"7","C",2008-01-01,2.08,1.04
7181,"17","C",2008-01-01,2.06,1.27
7362,"17","C",2008-01-01,2.06,0.92
3506,"9","C",2008-01-01,2.04,1.05
7263,"17","C",2008-01-01,2.03,1.32
9878,"25","C",2008-01-01,2.01,0.77
9972,"25","C",2008-01-01,1.99,1.3
9620,"25","C",2008-01-01,1.97,1.04
7478,"17","C",2008-01-01,1.96,1.03
3718,"9","C",2008-01-01,1.96,1
9512,"25","C",2008-01-01,1.95,0.8
2054,"7","C",2008-01-01,1.92,0.78
2169,"7","C",2008-01-01,1.92,0.7
9796,"25","C",2008-01-01,1.86,0.68
2460,"7","C",2008-01-01,1.85,0.65
7296,"17","C",2008-01-01,1.78,0.65
3425,"9","C",2008-01-01,1.72,0.8
9566,"25","C",2008-01-01,1.7,0.5
9763,"25","C",2008-01-01,1.67,0.53
7067,"17","C",2008-03-01,3.48,3.34
7264,"17","C",2008-03-01,3.48,2.57
3507,"9","C",2008-03-01,3.41,2.79
7121,"17","C",2008-03-01,3.36,3.07
7446,"17","C",2008-03-01,3.33,3.44
2109,"7","C",2008-03-01,3.29,2.74
9452,"25","C",2008-03-01,3.25,2.78
3540,"9","C",2008-03-01,3.22,2.57
3195,"9","C",2008-03-01,3.2,2.75
2367,"7","C",2008-03-01,3.2,2.47
3426,"9","C",2008-03-01,3.2,1.98
3719,"9","C",2008-03-01,3.18,2.4
2055,"7","C",2008-03-01,3.02,1.94
3256,"9","C",2008-03-01,3.01,2.45
9682,"25","C",2008-03-01,2.97,2.55
9879,"25","C",2008-03-01,2.91,1.91
9621,"25","C",2008-03-01,2.89,2.18
2252,"7","C",2008-03-01,2.87,1.62
3318,"9","C",2008-03-01,2.86,1.53
3365,"9","C",2008-03-01,2.82,2.07
7297,"17","C",2008-03-01,2.76,2.3
2461,"7","C",2008-03-01,2.74,1.94
9973,"25","C",2008-03-01,2.73,2.3
9797,"25","C",2008-03-01,2.69,1.83
9513,"25","C",2008-03-01,2.61,1.91
2170,"7","C",2008-03-01,2.59,1.7
7386,"17","C",2008-03-01,2.59,1.67
2001,"7","C",2008-03-01,2.58,1.46
7479,"17","C",2008-03-01,2.56,2.06
7182,"17","C",2008-03-01,2.55,2.27
7363,"17","C",2008-03-01,2.54,2.27
6952,"17","C",2008-03-01,2.49,2.19
9764,"25","C",2008-03-01,2.48,1.5
1931,"7","C",2008-03-01,2.45,1.46
3686,"9","C",2008-03-01,2.38,2.63
7013,"17","C",2008-03-01,2.38,1.51
2428,"7","C",2008-03-01,2.31,1.24
3608,"9","C",2008-03-01,2.28,1.14
9567,"25","C",2008-03-01,2.26,1.42
9940,"25","C",2008-03-01,2.2,1.13
2285,"7","C",2008-03-01,2.02,1.01
3309,"9","C",2008-04-01,4.6,3.63
7111,"17","C",2008-04-01,4.21,3.99
7057,"17","C",2008-04-01,4.09,3.98
3491,"9","C",2008-04-01,4.01,3.77
2092,"7","C",2008-04-01,3.99,3.51
7137,"17","C",2008-04-01,3.95,3.35
7287,"17","C",2008-04-01,3.94,3.6
7144,"17","C",2008-04-01,3.94,3.35
3735,"9","C",2008-04-01,3.85,3.72
7122,"17","C",2008-04-01,3.84,3.42
6886,"17","C",2008-04-01,3.82,3.64
3742,"9","C",2008-04-01,3.8,4.34
3709,"9","C",2008-04-01,3.8,3.77
7090,"17","C",2008-04-01,3.78,3.54
7068,"17","C",2008-04-01,3.78,3.12
3530,"9","C",2008-04-01,3.77,3.7
9672,"25","C",2008-04-01,3.75,3.18
7265,"17","C",2008-04-01,3.74,2.98
3563,"9","C",2008-04-01,3.73,3.03
7436,"17","C",2008-04-01,3.72,3.31
2110,"7","C",2008-04-01,3.71,3.27
7429,"17","C",2008-04-01,3.69,3.54
3157,"9","C",2008-04-01,3.69,3.2
3218,"9","C",2008-04-01,3.69,2.76
3508,"9","C",2008-04-01,3.66,3.29
7502,"17","C",2008-04-01,3.65,3.26
7355,"17","C",2008-04-01,3.64,3.2
9956,"25","C",2008-04-01,3.64,2.94
2383,"7","C",2008-04-01,3.61,3.01
6893,"17","C",2008-04-01,3.61,2.97
7036,"17","C",2008-04-01,3.59,3.28
3286,"9","C",2008-04-01,3.58,2.94
3477,"9","C",2008-04-01,3.56,3.6
3225,"9","C",2008-04-01,3.55,3.05
3497,"9","C",2008-04-01,3.55,2.79
3272,"9","C",2008-04-01,3.55,2.75
3427,"9","C",2008-04-01,3.55,2.56
7247,"17","C",2008-04-01,3.54,3.54
2038,"7","C",2008-04-01,3.54,3.17
3470,"9","C",2008-04-01,3.54,3.13
3720,"9","C",2008-04-01,3.54,2.95
3388,"9","C",2008-04-01,3.54,2.77
6942,"17","C",2008-04-01,3.54,2.66
1984,"7","C",2008-04-01,3.53,3.63
7422,"17","C",2008-04-01,3.53,3.18
3143,"9","C",2008-04-01,3.52,2.58
2071,"7","C",2008-04-01,3.5,3.17
2368,"7","C",2008-04-01,3.49,2.92
3211,"9","C",2008-04-01,3.47,3
6996,"17","C",2008-04-01,3.47,2.64
3702,"9","C",2008-04-01,3.46,3.01
7043,"17","C",2008-04-01,3.46,2.76
2411,"7","C",2008-04-01,3.46,2.75
3300,"9","C",2008-04-01,3.46,2.63
7447,"17","C",2008-04-01,3.42,3.73
3334,"9","C",2008-04-01,3.42,3.56
3541,"9","C",2008-04-01,3.42,3.25
3279,"9","C",2008-04-01,3.41,3.26
7254,"17","C",2008-04-01,3.4,2.23
7233,"17","C",2008-04-01,3.39,2.44
2242,"7","C",2008-04-01,3.37,2.66
7415,"17","C",2008-04-01,3.35,3.04
9637,"25","C",2008-04-01,3.35,2.7
2078,"7","C",2008-04-01,3.35,2.44
6921,"17","C",2008-04-01,3.34,2.98
7469,"17","C",2008-04-01,3.34,2.8
3150,"9","C",2008-04-01,3.33,1.96
3676,"9","C",2008-04-01,3.32,2.92
2336,"7","C",2008-04-01,3.32,2.79
9453,"25","C",2008-04-01,3.31,3.36
3484,"9","C",2008-04-01,3.31,3.32
7097,"17","C",2008-04-01,3.31,2.96
3523,"9","C",2008-04-01,3.31,2.61
3136,"9","C",2008-04-01,3.3,2.6
9916,"25","C",2008-04-01,3.3,2.44
2315,"7","C",2008-04-01,3.28,2.32
9880,"25","C",2008-04-01,3.28,2.25
3591,"9","C",2008-04-01,3.27,2.82
9622,"25","C",2008-04-01,3.27,2.27
6914,"17","C",2008-04-01,3.26,2.98
9930,"25","C",2008-04-01,3.26,2.84
3293,"9","C",2008-04-01,3.26,2.73
7165,"17","C",2008-04-01,3.26,2.25
1874,"7","C",2008-04-01,3.25,2.92
3257,"9","C",2008-04-01,3.25,2.82
9543,"25","C",2008-04-01,3.25,2.47
2477,"7","C",2008-04-01,3.24,2.87
7050,"17","C",2008-04-01,3.24,2.86
9435,"25","C",2008-04-01,3.24,2.71
3164,"9","C",2008-04-01,3.24,2.64
7226,"17","C",2008-04-01,3.24,2.5
7240,"17","C",2008-04-01,3.23,2.32
2301,"7","C",2008-04-01,3.22,2.57
2024,"7","C",2008-04-01,3.22,2.36
3381,"9","C",2008-04-01,3.21,2.61
